ItemCode,ItemName,English,French,English_(UK)
0CHAT001,Chatarra INOX 304,Scrap INOX 304,Ferraille INOX 304,
0CHAT002,Chatarra,Scrap,Abandonner,
0CHAT003,Chatarra INOX FERRITICO,FERRITIC STAINLESS STEEL scrap,Déchets d'ACIER INOXYDABLE FERRITIQUE,
0CHAT005,Carton para reciclar,Cardboard to recycle,Carton à recycler,
0CHAT006,Plástico para reciclar,Plastic for recycling,Plastique à recycler,
0CHAT007,Chatarra Muebles achatarrados,Scrap Scrap Furniture,Débris de meubles,
0COMPGEN,Articulos genericos,Generic items,Articles génériques,
0embal18,Bolsa acolchada marron12x21cm [Centenar],Brown padded bag12x21cm [Centenar],Sac matelassé marron12x21cm [Centenar],
0EMBAL19,Bolsa acolchada c/burbujas 30x44cm [Centenar],Padded bag with bubbles 30x44cm [Centenar],Sac matelassé à bulles 30x44cm [Centenar],
0EMBAL20,Sobre antiestatico 15.2x20.3cm [Centenar],15.2x20.3cm antistatic envelope [Centenar],"Enveloppe antistatique 15,2x20,3cm [Centenar]",
0EMBAL21,"Botella de 1 litro, plastico blanco","1 liter bottle, white plastic","Bouteille de 1 litre, plastique blanc",
0EMBAL22,"Tapón antigoteo,","Anti-drip cap,","Bouchon anti-goutte,",
0EMBAL23,XPERT protector (Envase 25L),XPERT protector (25L container),Protecteur XPERT (conteneur 25L),
0EMBAL26,Hevilla para fleje polipropileno azul RAJASTRAP,RAJASTRAP blue polypropylene strap buckle,Boucle bracelet polypropylène bleu RAJASTRAP,
0EMBAL37,Dispensador de cinta adhesiva silencioso DRB50,,,
0EMBALA6,B.Industrial estàndard 2C GOF TISOFT  (2 unitats),B. Industrial standard 2C GOF TISOFT (2 unitats),B. Norme industrielle 2C GOF TISOFT (2 unités),
0GASOCAL,Gasoil para calefacción,Heating oil,L'huile de chauffage,
0HERRAMI,Herramientas Fábrica,Factory Tools,Outils d'usine,
0INMOBIL,Compras de Inmobilizado,Property purchases,Achats immobiliers,
0LIMPIA1,Material Limpieza,Cleaning Material,Matériel de nettoyage,
0LIMPIA2,Higienico ind. estandard 2C GOF TISOFT (18 unitats),Hygienic ind. standard 2C GOF TISOFT (18 unitats),Ind. hygiénique. norme 2C GOF TISOFT (18 unités),
0LIMPIA3,Netejador de vidres,Glass neater,Verre plus propre,
0LIMPIA5,Limpiador de suelo 5L para maquina,5L floor cleaner for machine,Nettoyant sol 5L pour machine,
0LIMPIA6,Limpiador Paso Cal y Oxido 500ml,Step Lime and Oxide Cleaner 500ml,Step Nettoyant à la chaux et aux oxydes 500ml,
0MANTENI,Mantenimiento fabrica (general),,,
0MATLIMP,Material  limpieza,Cleaning material,Matériel de nettoyage,
0MONOT-L,mono desechable blanco talla L,white disposable jumpsuit size L,combinaison jetable blanche taille L,
0MONOT-M,mono desechable blanco talla M,white disposable jumpsuit size M,combinaison jetable blanche taille M,
0MONOTXL,mono desechable blanco talla XL,white disposable jumpsuit size XL,combinaison jetable blanche taille XL,
0PAPEL00,B.Secamanos estandard 2C GOF TISOFT (6 unitats),B. 2C GOF TISOFT standard hand dryers (6 unitats),B. Sèche-mains standard 2C GOF TISOFT (6 unités),
0PAPEL01,BOBINA CELULOSA SUAVE AZUL PRECORTADA  (2 unitats),,,
0REPARCI,Reparaciones 11P0205,Repairs 11P0205,Réparations 11P0205,
ABONO001,Abono comercial,Special Discount,,
ACADEMY1,Jornada completa de formación de cocina Distform,Full day of Distform kitchen training,Journée complète de formation en cuisine Distform,
ACADEMY2,Media jornada de formación de cocina Distform,Half day of Distform kitchen training,Demi-journée de formation en cuisine Distform,
AGUADIST,Agua desmineralizada (destilada - mant. laser),,,
"BROC11,0","broca cilindrica AR 1010 11,0 mm",cylindrical drill bit AR 1010 11.0 mm,"foret cylindrique AR 1010 11,0 mm",
"BROC2,50","broca cilindrica AR 1010 2,50 mm",cylindrical drill bit AR 1010 2.50 mm,foret cylindrique AR 1010 2.50 mm,
"BROC3,00","broca cilindrica AR 1010 3,00 mm",cylindrical drill bit AR 1010 3.00 mm,foret cylindrique AR 1010 3.00 mm,
"BROC3,25","broca cilindrica AR 1010 3,25 mm",cylindrical drill bit AR 1010 3.25 mm,"foret cylindrique AR 1010 3,25 mm",
"BROC3,50","BROCA CILINDRICA AR 1010 3,50 mm",CYLINDRICAL DRILL AR 1010 3.50 mm,PERCEUSE CYLINDRIQUE AR 1010 3.50 mm,
"BROC3,75","broca cilindrica AR 1010 3,75 mm",cylindrical drill bit AR 1010 5.50 mm,"foret cylindrique AR 1010 5,50 mm",
"BROC4,00","BROCA CILINDRICA AR 1010 4,00mm",CYLINDRICAL DRILL AR 1010 4.00mm,PERCEUSE CYLINDRIQUE AR 1010 4.00mm,
"BROC4,25","broca cilindrica AR 1010 4,25 mm",cylindrical drill bit AR 1010 4.25 mm,"foret cylindrique AR 1010 4,25 mm",
"BROC5,00","broca cilindrica AR 1010 5,00 mm",cylindrical drill bit AR 1010 5.00 mm,foret cylindrique AR 1010 5.00 mm,
"BROC5,50","broca cilindrica AR 1010 5,50 mm",cylindrical drill bit AR 1010 5.50 mm,"foret cylindrique AR 1010 5,50 mm",
"BROC8,00","broca cilindrica AR 1010 8,00mm",,,
"BROC8,50","broca cilindrica AR 1010 8,50 mm",cylindrical drill bit AR 1010 8.50 mm,foret cylindrique AR 1010 8.50 mm,
"BROC9,00","broca cilindrica AR 1010 9,00 mm",cylindrical drill bit AR 1010 9.00 mm,foret cylindrique AR 1010 9.00 mm,
"BROC9,50","broca cilindrica AR 1010 9,50 mm",cylindrical drill bit AR 1010 9.50 mm,"foret cylindrique AR 1010 9,50 mm",
CADMINES,Importe Logistico,Administrative fee spare parts (ES),Frais administratifs pièces de rechange (ES),
CADMINEU,Gastos de gestion y envio,Handling and shipping costs,Frais de gestion et d'expédition,
CADMINRW,Gastos de gestion y envio (RW),Handling and shipping costs,Frais de gestion et d'expédition,
CCAPD020,CAP hembra diametro 20 forma D,CAP female diameter 20 form D,CAP femelle diamètre 20 forme D,
CSIL0012,Loctite 648 50 ml retenedor alta temperatura,Loctite 648 50 ml high temperature retainer,Loctite 648 50 ml de rétention haute température,
CUTER000,CUTER MAKUILAND NT L-500GR,CUTER MAKUILAND NT L-500GR,COUPE MAKUILAND NT L-500GR,
CUTTERCU,Cuchilla recambio cutter LCB-50 10 pz,Spare blade cutter LCB-50 10 pcs,Coupe-lame de rechange LCB-50 10 pcs,
CVAL0004,valvula*,Drain valves for CCULA006 with plug,Vannes de vidange pour CCULA006 avec bouchon,
DABONO00,Abono comercial venta especial,Commercial subscription special sale,Vente spéciale abonnement commercial,
DEFCOM-C,Deferencia comercial compras,,,
DEFERCOM,Deferencia comercial,Commercial Courtesy,Déférence commercial,
DESPLAZA,Desplazamiento para servicio,Displacement for service,Déplacement pour service,
DEVOLUCI,Gestion Devolucion,Return Management,Gestion des retours,
ENVAC000,Articulo de compra-venta de envasadoras de vacío,Vacuum packer sale article,Articule de vente de machines à emballage sous-vide,
FGCORUÑA,Feria Fórum Gastronómico A Coruña,A Coruña Gastronomic Forum Fair,Foire du Forum gastronomique de La Corogne,
FGGIRONA,Feria Fórum Gastronómico Girona,Girona Gastronomic Forum Fair,Foire du Forum gastronomique de Gérone,
FILLaser,TA6 ROLLO MANTA BLANCA G-3 1X20mTS - filtrante,TA6 WHITE BLANKET ROLL G-3 1X20mTS - filter,TA6 BLANC COUVERTURE ROULEAU G-3 1X20mTS - filtre,
FNALMBCN,Feria Alimentaria de Barcelona,Barcelona Food Fair,Salon de l'alimentation de Barcelone,
GAFABOLE,GAFA CON GOMA PROT.BOLLE X90 M.X90PSI,GLASSES WITH RUBBER BOLLE PROTECTION X90 M.X90PSI,LUNETTES AVEC PROTECTION EN CAOUTCHOUC X90 M.X90PSI,
GAFASEGU,GAFA STEALTH 9000 CAL.KN TRANS -,GOGGLES STEALTH 9000 CAL.KN TRANS,LUNETTES STEALTH 9000 CAL.KN TRANS,
GASTROMK,Feria Gastronomika (San Sebastián),Gastronomika Fair (San Sebastián),Foire Gastronomika (Saint-Sébastien),
GOURMETS,Salón de Gourmets,Gourmet Lounge,Salon Gourmand,
GTSABONO,Gestion de devolución,Return management,Gestion des retours,
GUACOR10,Guantes anticorte 413RF Talla 10 (XL),Cut resistant gloves 413RF Size 10 (XL),Gants résistants aux coupures 413RF Taille 10 (XL),
GUACORT7,Guantes anticorte 413RF Talla 7(S),,,
GUACORT8,Guantes anticorte 413RF Talla 8 (M),Cut resistant gloves 413RF Size 8 (M),Gants résistants aux coupures 413RF Taille 8 (M),
GUACORT9,Guantes anticorte 413RF Talla 9 (L),Cut resistant gloves 413RF Size 9 (L),Gants résistants aux coupures 413RF Taille 9 (L),
GUANTE00,guenates negros sport nylo palma poliu. 7 (S),black guenates sport nylo palma poliu. 7 (S),noir guenates sport nylo palma poliu. 7 (S),
GUANTE01,guenates negros sport nylo palma poliu. 8 (M),black guenates sport nylo palma poliu. 8 (M),noir guenates sport nylo palma poliu. 8 (M),
GUANTE02,guenates negros sport nylo palma poliu. 9 (L),black guenates sport nylo palma poliu. 9 (L),noir guenates sport nylo palma poliu. 9 (T),
GUANTE03,guenates negros sport nylo palma poliu. 10 (XL),black guenates sport nylo palma poliu. 10 (XL),noir guenates sport nylo palma poliu. 10 (TG),
HOSTELCO,Feria VARIOS,VARIOUS fair,DIVERS foire,
HOSTMILA,Host Milano,Host Milano,Hôte Milano,
JCMN8GN3,Panel liso color negro para Buffet Janus 850 mm 3GN 1/1,850 mm buffet unit black colour smooth finish - 3GN,Finition unie buffet 850 mm coleur noir - 3GN,
JCMN8GN5,Panel liso color negro para Buffet Janus 850 mm 5GN 1/1,850 mm buffet unit black colour smooth finish - 5GN,Finition unie buffet 850 mm coleur noir - 5GN,
KALCOMPR,Articulo componente de estanterias de aluminio. Compra-venta,Component article of aluminum shelves,Article constitutif d'étagères en aluminium,
LASERRAC,"RACK 16 botellas de 9,4 m3 a 200bars",RACK 16 bottles of 9.4 m3 at 200bars,"RACK 16 bouteilles de 9,4 m3 à 200bars",
LIMP-CIF,"Limpiador CIF 0,75 L",,,
LIMPKH-7,"DESENGRASANTE SPRAY KH7 0,75 L",DEGREASER SPRAY KH7 0.75 L,"SPRAY DÉGRAISSANT KH7 0,75 L",
LINTERNA,Linterna cabeza 6W (My chef),,,
MADFUSIO,Congreso Madrid Fusión,Madrid Fusion Congress,Congrès Fusion de Madrid,
MAPROT00,Guantes bricolage negros Talla 7 (S),Black DIY gloves Size 7 (S),Gants DIY noirs Taille 7 (S),
MAPROT01,Guantes bricolage negros  Talla 8 (M),Black DIY gloves Size 8 (M),Gants DIY noirs Taille 8 (M),
MAPROT02,Guantes bricolage negros  Talla 9 (L),Black DIY gloves Size 9 (L),Gants DIY noirs Taille 9 (L),
MAPROT03,Guantes bricolage negros  Talla 10 (XL),Black DIY gloves Size 10 (XL),Gants DIY noirs Taille 10 (XL),
MAPROT04,Guantes anticorte naranja Talla 8 (M),Orange cut resistant gloves Size 8 (M),Gants orange résistants aux coupures Taille 8 (M),
MAPROT05,Guantes anticorte naranja Talla 9 (L),Orange cut resistant gloves Size 9 (L),Gants orange résistants aux coupures Taille 9 (L),
MAPROT06,Guantes anticorte naranja Talla 10 (XL),Orange cut resistant gloves Size 10 (XL),Gants orange résistants aux coupures Taille 10 (XL),
MAPROT07,Guantes cuero Talla 7 (S),Leather gloves Size 7 (S),Gants en cuir Taille 7 (S),
MAPROT08,Guantes cuero Talla 8 (M),Leather gloves Size 8 (M),Gants en cuir Taille 8 (M),
MAPROT09,Guantes cuero Talla 9 (L),Leather gloves Size 9 (L),Gants en cuir Taille 9 (L),
MASCFFP2,Mascarilla 3M FFP2 polvo fino,3M FFP2 fine powder mask,Masque poudre fine 3M FFP2,
MASCFFP3,Mascarilla FFP3,3M FFP3 mask,Masque 3M FFP3,
MASCQUIR,Mascarilla quirurgica/higienica (blanca/azul),,,
MATBARNA,Material Oficina Barcelona,,,
MATOFIC0,Material Oficina,Office material,Matériel de bureau,
MATSEGUR,Material  Seguridad,Material Safety,Sécurité des matériaux,
MBRUSHES,Mink special brushes,Mink special brushes,Brosses spéciales vison,
MEJOCONT,Costes Mejora Continua,Continuous Improvement Costs,Coûts d'amélioration continue,
MIKT1100,Maquila KT001100,Maquila KT001100,Maquila KT001100,
MIN00044,Maquila CIN00044,Maquila CIN00044,Maquila CIN00044,
MIN00097,Maquila CIN00097,Maquila CIN00097,Maquila CIN00097,
MIN00107,Maquila CIN00107,Maquila CIN00107,Maquila CIN00107,
MIN00112,Maquila CIN00112,Maquila CIN00112,Maquila CIN00112,
MIN00172,Maquila CIN00172,Maquila CIN00172,Maquila CIN00172,
MKmychef,Lanyard negro Neck LA47S (1 color),Black Lanyard Neck LA47S (1 color),Tour de cou noir LA47S (1 couleur),
MMYCHA14,Maquila MYCHA014 mano de obra,Maquila MYCHA014 labor,Maquila MYCHA014 travail,
MOLDEVAC,Moldes para Envasadoras,Molds for Packaging Machines,Moules pour machines d'emballage,
MOLDOVEN,Moldes para Hornos,Oven Molds,Moules à Four,
MOSERVIC,Mano de obra por servicios realizados,Labour Costs,Main-d'œuvre,
MYCHA380,Activación licencia Wifi para hornos Mychef Cook Bake Bakershop Snack,Wifi license activation for Mychef Cook Bake Bakershop Snack ovens,Activation de la licence Wifi pour les fours Mychef Cook Bake Bakershop Snack,
MYCHMONT,Instalación y montaje,Installation and assembly,Installation et assemblage,
PINTSEÑA,*negra*,* black *,* le noir *,
PORTES00,Portes de compras-ALBARANES COMPRA,Purchasing shipping-PURCHASE ALBARANES,Achat expédition - ACHAT ALBARANES,
PORTESCO,Portes de compras,Shopping shipping,Expédition d'achats,
PORTESVE,Portes de ventas,Freight Cost,Frais de ports,
PROTECFA,Protección Facial,Facial protection,Protection du visage,
PROTECMA,Protecciones Mascarillas,Protections Masks,Masques de protection,
PROTECOI,Protección oido/auriculares de proteccion,,,
PROTOVAC,Componentes prototipos Envasadora,Prototype components Packaging machine,Composants prototypes Machine d'emballage,
PROTOVEN,Componentes prototipos Hornos,Components prototypes Furnaces,Composants prototypes Fours,
PUBLICID,Publicidad en medios online o offline,Advertising in online or offline media,Publicité dans les médias en ligne ou hors ligne,
RADIAL00,DESBARBADORA 880W 115MM. - GWS880 115mm,,,
RAPELVTA,Rappel sobre ventas,Rappel on sales,Rappel sur les ventes,
Rappel00,Rappel de Venta,Sale Rappel,Vente Rappel,
RECAMBIO,Recambios herramientas y maquinaria,Spare parts for tools and machinery,Pièces de rechange pour outils et machines,
RECAPANT,Recambio pantalla RF.4290/4390 (My chef),,,
RECAPREP,"Recargo preparación, embalaje y manipulación (proveedor)",,,
RECARAEE,Recargo RAEE,WEEE surcharge,Supplément DEEE,
RECPAN01,Correa 25 AT5 (recambio paneladora),Belt 25 AT5 (replacement paneling machine),Courroie 25 AT5 (plaqueuse de remplacement),
REPAANTO,Reparaciones antorchas TIG,TIG torch repairs,Réparation de torches TIG,
REPAGRAP,Reparaciones grapadora neumatica,,,
REPAMOLA,Reparaciones Desbarbadora/Mola/Amoladora,Deburrer / Grinder / Grinder Repairs,Ébavureuse / Meuleuse / Réparations de meuleuse,
REPAPULI,Reparaciones pulidora,Polisher repairs,Réparation de polisseuse,
REPARACI,Reparaciones Generales,General Repairs,Réparations générales,
REPARAEL,Reparaciones componentes electronicos,Electronic component repairs,Réparation de composants électroniques,
REPAREMA,Reparaciones remachadora,Riveter repairs,Réparation de riveteuses,
REPASOLD,Reparaciones maquinas de soldar,Welding machine repairs,Réparation de machines à souder,
REPATALA,Reparaciones taladro bateria/electrico/aire,Battery / Electric / Air Drill Repairs,Réparations de batterie / électrique / perceuse à air,
SEGUROFR,Mercancia asegurada a TODO RIESGO,Goods insured at ALL RISK,Marchandises assurées TOUS RISQUES,
SERTEC00,Servicio Tecnico realizado por SAT,,,
SERVIVAC,Servicios subcontratados I+D Envasadoras,Outsourced services R&D Packaging machines,Services externalisés R&D Machines d'emballage,
SERVOVEN,Servicios subcontratados I+D hornos,Outsourced services R&D ovens,Fours de R&D de services externalisés,
SHOWROOM,Accions per a showroom,Actions per a showroom,Actions par showroom,
SIERRA00,SIERRA CINTA P/INOX. 2450x27MM,RIBBON SAW P / INOX. 2450x27MM,SCIE À RUBAN P / INOX. 2450x27MM,
STGARANT,Servico Tecnico garantia,,,
TAPONOID,PROTECTOR OIDO E.ULTRAFIT C/COT -EAR ULTRAFIT,EAR PROTECTOR E.ULTRAFIT C / COT -EAR ULTRAFIT,PROTECTEUR D'OREILLE E.ULTRAFIT C / LIT -EAR ULTRAFIT,
TOBERA01,TOBERA CERAMICA TIG QR-17 - nº6,,,
TOBERA02,TOBERA CERAMICA TIG QR-17 - nº5,,,
TRADUMKT,Traducciones de marqueting,Translations of marqueting,Traductions de marqueting,
TRADUTEC,Traducciones de documentación técnica,Translations of technical documentation,Traductions de documentation technique,
TRAPO5KG,TRAPO LIMP.SABANA BLANC.ALGOD. - 5 kgs.,,,
"TUGS-1,6","Electrodo Tugsteno 1,6 dorado",1.6 Gold Tungsten Electrode,1.6 électrode en tungstène en or,
UTILLAJ3,"Costes ingenieria, moldes y pantallas para hornos y envasadora","Engineering costs, molds and screens for ovens and packaging machine","Frais d'ingénierie, moules et tamis pour fours et machine d'emballage",
UTILLAJE,Moldes y pantallas (externos) para mychef MKII (para escandallo/amortizacion/costes),Molds and screens (external) for mychef MKII (for scandal / amortization / costs),Moules et écrans (externes) pour mychef MKII (pour scandale / amortissement / frais),
VENTADIR,Articulo de venta sin stock,Sale item out of stock,Article soldé en rupture de stock,
WEBCORPO,Acciones mantenimiento o diseño para la web corporativa de Distform,Maintenance or design actions for Distform's corporate website,Actions de maintenance ou de conception du site institutionnel de Distform,
0EMBAL10,Pegatina | ARRIBA |   90x115,Sticker | UP | 90x115,autocollant | HAUT | 90x115,
0EMBAL11,Precinto logo Distform  50x132 Blanco,Distform logo seal 50x132 White,Sceau logo Distform 50x132 Blanc,
0EMBAL12,Grapa 777/16 mm,Staple 777/16 mm,Agrafe 777/16 mm,
0EMBAL13,Disolvente universal 25 l,Universal solvent 25 l,Solvant universel 25 l,
0EMBAL14,Bolsa PLASTICO p.e. 15x25,PLASTIC bag pe 15x18,Sachet PLASTIQUE pe 15x18,
0EMBAL15,Precinto acero fleje plastico 13 pesteña,Steel strap seal plastic strap 13 flange,Joint de feuillard acier feuillard plastique 13 bride,
0EMBAL16,Plastico film extensible 125mmx150 mt M-30 con mango carton,Plastic stretch film 125mmx150 mt,Film étirable plastique 125mmx150 mt,
0EMBAL17,Rollo precinto P.P. 75x132 mm marrrón PPS7/M,Seal roll PP 75x132 mm brown PPS7 / M,Rouleau scellé PP 75x132 mm marron PPS7 / M,
0EMBAL24,Kit flejado de polipropileno azul 750m x 12mm RAJASTRAP,Blue polypropylene strapping kit 750m x 12mm RAJASTRAP,Kit feuillard polypropylène bleu 750m x 12mm RAJASTRAP,
0EMBAL25,Limpiacristales SINEX 1L,SINEX 1L glass cleaner,Nettoyant vitres SINEX 1L,
0EMBAL27,Protector cantonera de plàstic 42x40,42x40 plastic corner protector,Protections d'angle en plastique 42x40,
0EMBAL28,Cinta adhesiva per a precintador 12mmx66m (Rotllos),Adhesive tape for sealing 12mmx66m (Rotllos),Ruban adhésif pour sceller 12mmx66m (Rotllos),
0EMBAL29,Grapa Josef Kihlberg JK590-22K,Staple Josef Kihlberg JK590-22K,Agrafe Josef Kihlberg JK590-22K,
0EMBAL30,Alcohol etilico 96º 1000 ml (Cod. UND-61227),Ethyl alcohol 96º 1000 ml (Cod. UND 27683),Alcool éthylique 96º 1000 ml (Cod. UND 27683),
0EMBAL31,JABON MANOS DERMO GEL-MAN-9 5lt.,HAND SOAP DERMO GEL-MAN-9 5lt.,SAVON POUR LES MAINS DERMO GEL-MAN-9 5lt.,
0EMBAL32,Bolsa adhesiva portadocumentos PACKINGLIST PCL03ES,Adhesive document bag PACKINGLIST PCL03ES,Pochette adhésive pour documents PACKINGLIST PCL03ES,
0EMBAL33,Film estirable HQ 23 micras fondo blanco impreso 2 tintas,Stretch film HQ 23 microns white background printed 2 inks,Film étirable HQ 23 microns fond blanc imprimé 2 encres,
0EMBAL34,Precinto PPA 2 tintas 126x72 fondo maron,PPA seal 2 inks 126x72 brown background,Sceau PPA 2 encres 126x72 fond marron,
0EMBAL35,Film estirable HQ 23 micras blanco,Stretch film HQ 23 microns white,Film étirable HQ 23 microns blanc,
0EMBAL36,JABON MANOS ABRAS.NAT.RECAMBIO - 3000ml.bolsa,,,
0EMBALA1,Liquido Duwalkleen Eco/ Ilerflon Fast Eco 20 L,Duwalkleen Eco / Ilerflon Fast Eco Liquid 20 L,Duwalkleen Eco / Ilerflon Fast Eco Liquide 20 L,
0EMBALA2,Film retractil negro,Black shrink film,Film rétractable noir,
0EMBALA3,Precinto PP Caucho 48x132 Transparent ControlPack,PP Rubber Seal 48x132 Transparent ControlPack,Joint en caoutchouc PP 48x132 ControlPack transparent,
0EMBALA4,Film retractil (Rollo Incoloro de 123 m) caja blanca,Shrink film (123 m Colorless Roll) white box,Film rétractable (Roll Incolore 123 m) boite blanche,
0EMBALA5,Grapa 35-22 mm,Staple 35-22 mm,Agrafe 35-22 mm,
0EMBALA9,Fleje plastico Negro de 13x8 (Rollo 1200m),13x8 Black Plastic Strap (Roll 1200m),Sangle en plastique noir 13x8 (Rouleau 1200m),
0EMBALAJ,MATERIAL VARIOS EMBALAJE,MATERIAL VARIOUS PACKAGING,MATÉRIEL EMBALLAGE DIVERS,
0H2ODEST,AIGUA DESTIL·LADA,DISTILLED WATER,EAU DISTILLÉE,
0LIMPIA4,Sabó de mans Orange Crew 5L,Sabo de mans Orange Crew 5L,Sabo de mans Orange Crew 5L,
0MATOFIC,Material Oficina,Office material,Matériel de bureau,
11LTC00D,"mychef concept 10 GN 1/1 serie L transversal SIN TSC, SIN autolimpieza y apertura DCH",,"mychef concept 10 GN 1/1 série L transversel SANS TSC, SANS autonettoyage et ferrage DROITE",
11LTC00I,"mychef concept 10 GN 1/1 serie L transversal SIN TSC, SIN autolimpieza y apertura IZQ",,"mychef concept 10 GN 1/1 série L transversel SANS TSC, SANS autonettoage et ferrage GAUCHE",
11LTC0AD,"mychef concept 10 GN 1/1 serie L transversal SIN TSC, autolimpieza y apertura DCH",,"Concept L 10GN 1/1 sans TSC, avec MyCare et ferrage à DROITE",
11LTC0AI,"mychef concept 10 GN 1/1 serie L transversal SIN TSC, autolimpieza y apertura IZQ",,"mychef concept 10 GN 1/1 série L transversel SANSE TSC, autonettoyage et ferrage GAUCHE",
11LTCT0D,"mychef concept 10 GN 1/1 serie L transversal con TSC, SIN autolimpieza y apertura DCH",,"mychef concept 10 GN 1/1 série L transversel avec TSC, SANS autonettoge et ferrage DROITE",
